Campaign_ID,Channel,Start_Date,End_Date,Budget,Impressions,Clicks,Conversions
CA001,Social Media,2023-08-16,2023-08-31,2613.46,13117,4407,120
CA002,Display Ads,2023-11-30,2023-12-29,1038.89,135215,6865,420
CA003,Search Engine,2022-03-11,2022-04-10,4714.45,90664,6924,411
CA004,Email,2023-04-19,2023-05-18,1280.01,12444,4661,857
CA005,Display Ads,2022-07-22,2022-08-17,3115.84,171967,1377,259
CA006,Email,2022-11-11,2022-12-07,4616.94,55152,2038,887
CA007,Display Ads,2022-09-14,2022-09-25,3697.64,124801,2668,90
CA008,Social Media,2023-07-10,2023-07-29,3471.01,137284,4671,259
CA009,Search Engine,2022-03-21,2022-04-16,3084.22,116584,1187,243
CA010,Email,2023-10-28,2023-11-14,3131.17,174310,4751,380
CA011,Search Engine,2022-12-09,2022-12-29,1311.79,182465,2495,201
CA012,Social Media,2023-05-01,2023-05-10,1401.98,197575,3429,418
CA013,Display Ads,2022-12-09,2022-12-26,4793.49,85243,6067,610
CA014,Social Media,2022-10-18,2022-11-12,1274.16,117579,2554,857
CA015,Display Ads,2022-06-19,2022-07-09,2464.81,163086,7972,128
CA016,Email,2023-09-14,2023-10-12,4204.9,157039,6005,963
CA017,Search Engine,2022-02-15,2022-02-26,1997.2,159754,7503,618
CA018,Search Engine,2023-04-07,2023-04-15,2241.12,96279,5487,251
CA019,Display Ads,2023-11-29,2023-12-16,4405.23,55393,4770,546
CA020,Social Media,2022-05-01,2022-05-23,4654.08,157557,2933,338
CA021,Social Media,2022-04-25,2022-05-17,1164.79,131212,8913,465
CA022,Search Engine,2022-01-30,2022-02-25,2878.31,126297,4004,806
CA023,Social Media,2023-06-07,2023-06-24,1271.26,83428,9449,236
CA024,Search Engine,2022-04-06,2022-04-21,826.8,115298,4781,733
CA025,Search Engine,2023-06-09,2023-07-09,3631.49,43046,3737,173
CA026,Search Engine,2022-09-11,2022-10-05,1603.81,135680,1947,727
CA027,Search Engine,2022-10-05,2022-11-04,3460.49,150117,3243,896
CA028,Display Ads,2023-03-23,2023-04-06,4784.96,23441,3864,616
CA029,Social Media,2023-06-27,2023-07-10,705.58,90340,4245,262
CA030,Social Media,2022-05-02,2022-05-30,825.9,33590,7293,147
CA031,Search Engine,2022-09-27,2022-10-23,4387.88,120717,7457,392
CA032,Search Engine,2023-11-23,2023-12-04,4592.74,70772,9315,257
CA033,Display Ads,2022-01-18,2022-02-17,4623.46,35058,9502,129
CA034,Email,2023-07-18,2023-07-28,2155.36,199933,9430,260
CA035,Email,2022-12-28,2023-01-27,3578.01,76967,1591,412
CA036,Search Engine,2023-09-01,2023-09-15,2451.55,171190,4212,718
CA037,Social Media,2022-04-08,2022-05-07,2613.67,13873,6288,244
CA038,Social Media,2023-02-12,2023-03-12,3256.34,69876,5634,711
CA039,Display Ads,2023-09-14,2023-10-12,1376.31,29172,9878,221
CA040,Email,2023-10-13,2023-11-01,663.55,50036,9624,199
CA041,Search Engine,2022-10-17,2022-10-28,2891.22,52432,4564,446
CA042,Search Engine,2023-05-22,2023-06-04,865.66,144994,9307,632
CA043,Social Media,2022-02-13,2022-03-07,2413.88,41582,3473,645
CA044,Display Ads,2023-06-29,2023-07-15,3180.88,105311,3608,405
CA045,Search Engine,2023-02-19,2023-03-13,2557.06,26693,3281,573
CA046,Email,2023-05-09,2023-06-03,3665.67,141290,8116,996
CA047,Search Engine,2023-11-29,2023-12-14,3670.88,44142,5423,978
CA048,Display Ads,2022-04-25,2022-05-18,2739.81,150414,1908,626
CA049,Display Ads,2022-02-24,2022-03-24,3829.37,103444,2369,261
CA050,Email,2022-03-04,2022-03-21,3172.5,75327,8784,926
