Sale_ID,Product_ID,Customer_ID,Date,Quantity,Sale_Price,Channel
S0001,P012,C007,2023-09-14,1,939.77,In-Store
S0002,P013,C033,2023-07-19,5,1183.0,Online
S0003,P009,C009,2024-05-18,3,59.55,In-Store
S0004,P001,C046,2023-10-04,2,381.32,In-Store
S0005,P009,C037,2023-05-15,5,572.65,Online
S0006,P006,C035,2023-08-22,3,881.32,In-Store
S0007,P017,C029,2023-01-07,4,43.08,Online
S0008,P001,C013,2023-04-23,2,194.55,In-Store
S0009,P004,C033,2023-10-17,5,260.37,Online
S0010,P009,C026,2024-02-20,3,626.5,Online
S0011,P018,C020,2023-01-18,3,581.19,Online
S0012,P007,C030,2024-06-20,4,185.31,In-Store
S0013,P011,C041,2023-08-18,1,854.57,In-Store
S0014,P010,C027,2023-06-06,2,595.85,Online
S0015,P001,C036,2023-11-13,3,1094.62,Online
S0016,P012,C019,2024-04-04,2,624.34,Online
S0017,P010,C006,2023-06-06,5,203.04,In-Store
S0018,P018,C025,2023-09-22,5,551.78,Online
S0019,P006,C032,2024-02-12,4,975.5,Online
S0020,P004,C027,2024-03-02,1,367.16,In-Store
S0021,P002,C006,2024-01-01,5,304.58,In-Store
S0022,P016,C038,2024-04-27,1,1162.72,In-Store
S0023,P018,C042,2023-01-08,3,704.13,Online
S0024,P014,C013,2024-04-13,2,1159.35,In-Store
S0025,P007,C013,2023-06-14,5,445.84,Online
S0026,P016,C046,2024-04-12,2,165.14,In-Store
S0027,P017,C047,2023-03-31,2,810.6,Online
S0028,P005,C047,2023-11-11,1,753.15,In-Store
S0029,P009,C019,2023-04-12,3,670.2,In-Store
S0030,P010,C004,2024-02-13,1,83.49,Online
S0031,P019,C033,2023-05-28,3,1147.46,In-Store
S0032,P019,C043,2023-08-18,4,979.62,In-Store
S0033,P008,C007,2023-06-20,3,539.81,Online
S0034,P012,C017,2023-09-26,3,1027.4,Online
S0035,P015,C048,2023-07-25,5,104.68,In-Store
S0036,P015,C029,2023-09-16,2,74.59,In-Store
S0037,P005,C039,2024-01-23,2,956.2,Online
S0038,P016,C026,2023-01-27,3,792.76,Online
S0039,P012,C047,2023-05-12,5,69.99,Online
S0040,P013,C037,2023-04-26,5,396.68,In-Store
S0041,P007,C016,2024-05-02,2,809.39,Online
S0042,P015,C034,2023-03-05,4,55.14,Online
S0043,P008,C022,2024-05-25,3,519.69,In-Store
S0044,P013,C044,2023-09-20,2,344.5,Online
S0045,P019,C042,2023-04-19,2,1082.27,In-Store
S0046,P004,C046,2023-10-02,3,98.85,Online
S0047,P001,C030,2024-04-11,3,281.84,Online
S0048,P008,C041,2023-07-09,3,1126.66,Online
S0049,P019,C008,2023-09-12,2,198.87,In-Store
S0050,P015,C025,2024-02-21,4,1136.31,In-Store
